original_term,replacement
worth it,layak
worth to buy,layak dibeli
overrated,berlebihan
underrated,diremehkan
bad,buruk
good,bagus
best,terbaik
worst,terburuk
better,lebih baik
prefer,lebih suka
love,suka
hate,benci
zonk,buruk
scam,penipuan
fraud,penipuan
bullshit,omong kosong
shit,sialan
fuck,sialan
valid,masuk akal
red flag,berbahaya
green flag,baik
jujurly,jujur
literally,benar benar
basically,pada dasarnya
which is,yang mana
menyala,hebat
goks,gokil
oks,oke
b aja,biasa saja
b-aja,biasa saja
gaje,tidak jelas
gj,tidak jelas
ygy,ya guys ya
tbh,sejujurnya
imo,menurut saya
cmiiw,koreksi jika saya salah
rl,dunia nyata
fomo,ikut ikutan
no debat,pasti
debatable,bisa diperdebatkan
hoax,bohong
spill,ungkap
salty,kesal
tea,gosip
cringe,menjijikkan
gak,tidak
ga,tidak
nggak,tidak
enggak,tidak
kaga,tidak
kagak,tidak
ora,tidak
ndak,tidak
tak,tidak
gamau,tidak mau
gabisa,tidak bisa
gatahu,tidak tahu
gatau,tidak tahu
nop,tidak
gk,tidak
tdk,tidak
bkn,bukan
mbg,makan bergizi gratis
bgn,badan gizi nasional
makan siang gratis,makan bergizi gratis
msg,makan bergizi gratis
free meal,makan bergizi gratis
free lunch,makan bergizi gratis
pak bowo,prabowo
budget,anggaran
duit negara,anggaran
yg,yang
dr,dari
dlm,dalam
klo,kalau
kalo,kalau
kl,kalau
utk,untuk
udh,sudah
sdh,sudah
blm,belum
bgt,sangat
banget,sangat
pake,pakai
mw,mau
km,kamu
sy,saya
gw,saya
gua,saya
aku,saya
bumil,ibu hamil
mas wapres,gibran
santri,siswa
bjir,waduh
sus,mencurigakan
diberentiin,diberhentikan
diberhentikan,diberhentikan
thx,terima kasih
pait,pahit
gilaaaaa,gila
nending,mending
kapangan,lapangan
bsa,bisa
betmamfaat,bermanfaat
shrsnya,seharusnya
dibyr,dibayar
bahanbaku,bahan baku
giji,gizi
skeluawarga,sekeluarga
genocide,genosida
mekso,maksa
tauny,taunya
wong,orang
trlbiat,terlibat
mubaz8r,mubazir
dpenjra,dipenjara
wujudna,wujudnya
discontinued,dihentikan
indonesiagelap,indonesia gelap
laxang,ladang
ktorgmabokmbg,kata orang mabuk makan bergizi gratis
pejabatbangsat,pejabat bangsat
tangkaprelawanjokowiperusuh,tangkap relawan jokowi perusuh
pecatkepalabgn,pecat kepala badan gizi nasional
ordeomonomon,orde omon omon
baeang,barang
projekan,proyekan
trims,terima kasih
i miss,saya rindu
tiah,tiap
berhadapab,berhadapan
bngst,bangsat
anj,anjing
njir,wow
anjir,wow
anying,anjing
jir,wow
cok,sialan
cuk,jancuk
coeg,jancuk
tlol,tolol
gblk,bodoh
goobolok,bodoh
bego,bodoh
fck,sialan
fak,sialan
damn,sialan
asu,anjing
asw,anjing
pantek,sialan
tai,kotoran
taek,kotoran
kampret,sialan
monyet,monyet
nyet,monyet
babi,babi
wkwk,tertawa
wkwkwk,tertawa
haha,tertawa
hahaha,tertawa
xixixi,tertawa
cancel,batalkan
flop,gagal
blunder,kesalahan fatal
panic buying,panik beli
mark up,penggelembungan dana
markup,penggelembungan dana
dry,kering
raw,mentah
vendor,penyedia
catering,katering
katering,katering
umkm,usaha mikro kecil menengah
fufufafa,gibran
samsul,gibran
belimbing sayur,gibran
gemoy,prabowo
kak min,admin
pak,bapak
bu,ibu
buni,ibu
kak,kakak
bang,abang
bazer,pendengung
buser,pendengung
bujer,pendengung
buzer,pendengung
buzzeer,pendengung
pendengung,pendengung
gimmick,tipuan
gimik,tipuan
pencitraan,pencitraan
settingan,rekayasa
drama,sandiwara
tone deaf,tidak peka
out of touch,tidak paham kondisi
relate,sesuai
can't relate,tidak sesuai
sefrekuensi,sepemikiran
mindblowing,mencengangkan
membagongkan,membingungkan
plot twist,kejutan
clue,petunjuk
trigger,pemicu
triggered,terpicu emosi
ke-trigger,terpicu emosi
healing,liburan
burnout,kelelahan mental
kena mental,tertekan
war,rebutan
war takjil,rebutan makanan
jomok,aneh
cepu,pengadu
pick me,cari perhatian
caper,cari perhatian
pansos,panjat sosial
star syndrome,sombong
flexing,pamer
pamer,pamer
mendang mending,membandingkan
kaum mendang mending,pembanding
boncos,rugi
cuan,untung
pricey,mahal
affordable,terjangkau
overprice,kemahalan
kureng,kurang
kurleb,kurang lebih
sotoy,sok tahu
kepo,ingin tahu
julid,iri hati
nyinyir,kritik pedas
baper,bawa perasaan
mager,malas gerak
gabut,bosan
gercep,gerak cepat
sat set,cepat
sat set das des,cepat
gas,ayo
gaskeun,ayo
skuy,ayo
kuy,ayo
otw,sedang jalan
pap,foto
share,bagikan
repost,unggah ulang
thread,utas
utas,utas
mutual,teman
mutualan,berteman
moots,teman
bestie,sahabat
besti,sahabat
ngab,bang
banh,bang
gan,juragan
bund,ibu
bunda,ibu
hyung,kakak
oppa,kakak
damage,dampak
visual,tampilan
looks,tampilan
vibe,suasana
vibes,suasana
aura,suasana
chaos,kacau
rusuh,kacau
riweuh,repot
ribet,repot
bengek,tertawa
ngakak,tertawa
receh,lucu
crispy,garing
garing,tidak lucu
jayus,tidak lucu
sekip,abaikan
skip,abaikan
ghosting,menghilang
php,pemberi harapan palsu
hode,penipu
akun fake,akun palsu
alter,akun kedua
second account,akun kedua
sec acc,akun kedua
privatter,akun pribadi
doxxing,sebar data
cancel culture,boikot
boikot,boikot
speak up,bicara
deep,mendalam
dark,gelap
gelap,gelap
terpantau,terlihat
monmaap,mohon maaf
punten,permisi
pd,percaya diri
pede,percaya diri
insecure,tidak percaya diri
insyekur,tidak percaya diri
bersyanda,bercanda
bercanda,bercanda
fyp,viral
vt,video
konten,konten
creator,pembuat konten
influencer,pemengaruh
kol,pemengaruh
selebtweet,tokoh twitter
selebgram,tokoh instagram
netizen,warganet
rakyat twitter,warganet
slang,arti
gub,gubernur
wamen,wakil menteri
membnadingkan,membandingkan
wowo,prabowo
wok,prabowo
jkw,jokowi
tokay,kotoran
tokai,kotoran
kudu,harus
kek,seperti
musti,harus
double trouble,masalah ganda
profit,keuntungan
tester,penguji
crita,cerita
dikasi,diberi
ku,aku
doang,aja
egk,tidak
pulank,pulang
kbtln,kebetulan
rmhku,rumahku
dkt,dekat
tl,lini masa
segal,segala
distop,diberhentikan
please,tolong
darimananya,dari mananya
hoby,hobi
logic,logika
stopmbg,stop makan bergizi gratis
hentikanmbg,hentikan makan bergizi gratis
sejahterain,mensejahterakan
siii,sih
ugal,ugalan
freak,aneh
spe,siapa
indon,indonesia
kayak,seperti
ajaaaa,saja
ngadakan,mengadakan
korup,korupsi
disono,disana
sono,sana
wo,prabowo
tolil,tolol
jelekk,jelek
today,hari ini
ngambil,mengambil
background,batak belakang
you,kamu
pls,mohon
herman,heran
mbadog,makan
knyg,kenyang
se7,setuju
jaxi,jadi
loker,lowongan pekerjaan
komennya,komentarnya
mosok,masa
uwang,uang
ogah,tidak mau
kerjo,kerja
ngrepotno,merepotkan
gae,buat
dulinan,mainan
tok,saja
clown,badut
ters,terus
duid,uang
mambengi,tadi malam
mbokne,ibunya
opo,apa
iki,ini
podo,sama
manffaat,manfaat
dijejeli,dijejali
praroro,prabowo
dut,gendut
nyut,gendut
tololllll,tolol
dimuhammadiya,di muhamadiyah
byrnya,bayarnya
baget,kaget
dket,dekat
enakkk,enak
mamaciw,terima kasih
nasgor,nasi goreng
dikorup,di korupsi
ygbada,yang ada
manteppp,mantap
asbun,asal bunyi
kga,tidak
lom,belum
and,dan
enakk,enak
tadii,tadi
uenakk,enak
mantep,mantap
prabroro,prabowo
bagikuuu,bagiku
ngecewain,mengecewakan
lanjutkeun,lanjutkan
huebat,hebat
wenak,enak
lanjutkanmbg,lanjutkan makan bergizi gratis
mbgtepatsasaran,makan bergizi gratis tepat sasaran
mbglawanstunting,makan bergizi gratis lawan stunting
mbgsejutamanfaat,makan bergizi gratis sejuta manfaat
lunchnya,makan siangnya
plc,please
lahaapppp,lahap
makannyaaa,makannya
guaaaaaaaaaaa,aku
nyta,nyata
pngan,pangan
than,tahan
prabski,prabowo
makanbergizigratis,makan bergizi gratis
berenti,berhenti
indonesiasehat,indonesia sehat
anakcerdsas,anak cerdas
generasitangguh,generasi tangguh
indonesiaemas,indonesia emas
setaaannnn,setan
cegahstunting,cegah stunting
manfaatmbg,manfaat makan bergizi gratis
anget,hangat
enih,ini
mbgpapua,makan bergizi gratis papua
makanbergizigratisbantuumkm,makan bergizi gratis bantu usaha mikro kecil menengah
mbgkerjanyatapresiden,makan bergizi gratis kerja nyata presiden
generasicerdas,generasi cerdas
mimpianakindonesia,mimpi anak indonesia
wsrungvmakan,warung makan
bangunnegribersampemuda,bangun negeri bersama pemuda
investasimasadepanbangsa,investasi masa depan bangsa
darimbguntukindonesiahebat,dari makan bergizi gratis untuk indonesia hebat
dukungmbg,dukung makan bergizi gratis
kewren,keren
kemakane,kemakan
lanju,lanjut
mrlakukan,melakukan
fan,dan
presidenuntuk,presiden untuk
smngtt,semangat
dksh,dikasih
setiaaaap,setiap
leres,benar
berpalinh,berpaling
pemudakuatindonesiahebat,pemuda kuat indonesia hebat
mandekno,berhentikan
iku,itu
dripd,daripada
rs,rumah sakit
membangunbangsadarimbg,membangun bangsa dari makan bergizi gratis
rasa ulet,rasa ulat
mbg.sek rakyat,makan bergizi gratis sekolah rakyat
kepent,kepentingan
seorsng,seorang
dptny,dapatnya
gendeng,gila
rb,ribu
terimakasihpresidenuntukpapua,terima kasih presiden untuk papua
ke 1000,ke seribu
meouhat,melihat
bekel,bekal
dayaq,daya aku
ynx,yang
sklh,sekolah
tdx,tidak
doloe,dulu
seringx,sering
mlihat,melihat
watsap,whatsapp
sambilx,sambil
aplh,apalah
serusx,seru
ith,itu
moment,momen
bangesat,bangsat
mantul,mantap betul
wedok,perempuan
mamam,makan
lieur,pusing
geblek,bodoh
tempting,menggoda
gupek,repot
hope,harapan
ajg,anjing
ampunn,ampun
kelek,ketiak
ngawa,mengawal
mnguntungkn,menguntungkan
epaluasi,evaluasi
mrsa,merasa
hrz,harus
guoblok,bodoh
tbtb,tiba tiba
grgr,gara gara
jawap,jawab
guunya,gurunya
prabsky,prabowo
urgen,penting
urgent,penting
mbelani,membela
nov,november
kemproh,jorok
matiin,matikan
chefprofesionalmbg,koki profesional makan bergizi gratis
dpet,dapat
dapet,dapat
prabowoutkpapua,prabowo untuk papua
saiki,sekarang
tupoksiny,tupoksinya
tupoksinya,tugas pokok dan fungsinya
dulung,dukung
jusul,judul
pakdut,bapak gendut
dadi,jadi
sekaran,sekarang
jokowijawarakorupsi,jokowi jawara korupsi
reformasidikorupsi,reformasi dikorupsi
gwe,aku
tengs,terima kasih
mrlibatkan,melibatkan
eali,wali
moal baleg,tidak akan masuk akal
slaku,selaku
jatamu,katamu
siruh,suruh
bgntutupdapurbermasalah,badan gizi nasional tutup dapur bermasalah
pikiranrakyatkuningan,pikiran rakyat kuningan
mbayar,membayar
gizianak,gizi anak
kesehatanpublik,kesehatan publik
programsosial,program sosial
setop,stop
baruuu,baru
laukbasi,lauk basi
dptt,dapat
pkkny,pokoknya
gkmw,tidak mau
bukab,bukan
govt,pemerintah
soalny,soalnya
jejadian,jadi jadian
sepiringpenuhcinta,sepiring penuh cinta
wild,liar
brmanfaat,bermanfaat
syedep,sedap
bergiji,bergizi
spya,supaya
ngepap,mengirim foto
mulu,terus
cimit,sedikit
ngopi,minum kopi
goban,lima puluh ribu
ceban,sepuluh ribu
goceng,lima ribu
5rb,lima ribu
anw,ngomong ngomong
naikin,naikkan
